title,budget,production_companies,genres,keywords,overview,vote_count,vote_average
The Theory of Everything,15000000,['Working Title Films'],"['drama', 'romance']","['wife husband relationship', 'biography', 'physicist']","The Theory of Everything is the extraordinary story of one of the worlds greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",3311,7.8
Malibu's Most Wanted,0,"['Karz Entertainment', 'Big Ticket Productions', 'Warner Bros.']","['comedy', 'crime']","['street gang', 'los angeles']","Bill Gluckman, a wealthy white Jewish senator is running for the office of Governor. His son ""B-Rad"" dresses, speaks, and acts as if he were a gangster from the inner city. The campaign team members hire two actors, who don't know any more about inner-city life than B-Rad, to act as gang members, kidnap him, and take him to South Central Los Angeles where they hope Brad will be ""scared white"".",77,4.7
Where the Heart Is,15000000,"['Twentieth Century Fox Film Corporation', 'Wind Dancer Films']","['comedy', 'drama', 'romance']","['california', 'baby', 'supermarket']","Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside in Sequoyah, Okla., and takes refuge in the friendly aisles of Wal-Mart. In short order, some eccentric, kindly strangers ""adopt"" Novalee and her infant daughter, helping them buck the odds and build a new life.",155,6.9
Lawrence of Arabia,15000000,['Horizon Pictures (II)'],"['adventure', 'drama', 'history', 'war']","['cairo', 'arabian', 'world war i']","An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",851,7.8
Halloween II,15000000,"['Dimension Films', 'Spectacle Entertainment Group', 'Trancas International Films']",['horror'],"['nurse', 'shotgun', 'nudity']","Laurie Strode struggles to come to terms with her brother Micheal's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.",267,5.1
Wild,15000000,"['Fox Searchlight Pictures', 'Pacific Standard', 'bob industries']",['drama'],"['adventure', 'biography', 'hiking']",A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,951,7.0
The Last House on the Left,15000000,"['Rogue Pictures', 'Film Afrika', 'Sean S. Cunningham Films']","['crime', 'thriller', 'horror', 'drama']","['rape', 'white trash', 'revenge']","A group of teenage girls heading into the city hook up with a gang of drug-addled ne'er-do-wells and are brutally murdered. The killers find their way to the home of one of their victim's parents, where both father and mother exact a horrible revenge.",440,6.2
The Wedding Date,15000000,"['26 Films', 'Gold Circle Films', 'Visionview Production']","['comedy', 'romance']","['based on novel', 'callboy', 'wedding']","With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.",230,6.2
Halloween: Resurrection,13000000,['Dimension Films'],"['horror', 'thriller']","['brother sister relationship', 'innocence', 'serial killer']","Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",228,4.5
The Princess Bride,16000000,"['Act III Communications', 'The Princess Bride Ltd.', 'Buttercup Films Ltd.']","['adventure', 'family', 'fantasy', 'comedy', 'romance']","['swashbuckler', 'evil prince', 'reference to socrates']","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",1486,7.6
The Great Debaters,15000000,"['The Weinstein Company', 'Harpo Films', 'Marshall Production']",['drama'],['biography'],The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,151,6.9
Drive,15000000,"['Bold Films', 'Marc Platt Productions', 'Odd Lot Entertainment']","['drama', 'action', 'thriller', 'crime']","['stuntman', 'blood splatter', 'independent film']",A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,3725,7.4
Confessions of a Teenage Drama Queen,15000000,['Walt Disney Pictures'],['comedy'],"['rock star', 'spotlight', 'high school']","When the teenager Mary Elizabeth Steppe, a.k.a. Lola, moves with her mother and two younger twin sisters from New York to the suburb of Dellwood, New Jersey, she has the feeling that her cultural and entertaining world ended. While in school, the displaced Lola becomes close friend of the unpopular Ella, who is also a great fan of the her favorite rock band Sidarthur. However, the most popular girl in the school, Carla Santini, disputes the lead role in an adaptation of Pygmalion with Lola and also the leadership of their mates. When the last concert of Sidarthur is sold-out, Lola plans with Ella to travel to New York and buy the tickets from scalpers. However, the girls get into trouble while helping the lead singer and Lola's idol Stu Wolf, changing their lives forever.",221,5.1
The Object of My Affection,15000000,['Twentieth Century Fox Film Corporation'],"['comedy', 'drama', 'romance']","['blind date', 'love', 'falling in love']","A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",72,5.6
28 Weeks Later,15000000,"['DNA Films', 'Figment Films', 'Sociedad General de Cine S.A.']","['horror', 'thriller', 'science fiction']","['london england', 'loss of mother', 'loss of family']","In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",1197,6.5
When the Game Stands Tall,15000000,"['Mandalay Pictures', 'Affirm Films']",['drama'],"['american football', 'sport', 'high school sports']",A young coach turns a losing high school football program around to go undefeated for 12 consecutive seasons.,130,6.3
Because of Winn-Dixie,14000000,['Twentieth Century Fox Film Corporation'],"['comedy', 'drama', 'family']",[],"A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father.",61,6.1
Love & Basketball,20000000,['40 Acres & A Mule Filmworks'],"['action', 'comedy', 'drama', 'romance']","['lovers', 'affection', 'sport']","A young African-American couple navigates the tricky paths of romance and athletics in this drama. Quincy McCall (Omar Epps) and Monica Wright (Sanaa Lathan) grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball. They've followed the game all their lives and have no small amount of talent on the court. As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.",88,7.4
Grosse Pointe Blank,0,"['Caravan Pictures', 'Hollywood Pictures', 'Roger Birnbaum Productions']","['action', 'comedy', 'thriller', 'romance']","['mission of murder', 'school party', 'high school reunion']","Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.",275,6.9
All About Steve,15000000,"['Dune Entertainment', 'Fox 2000 Pictures', 'Fortis Films']",['comedy'],"['blind date', 'eccentric', 'aftercreditsstinger']","After one short date, a brilliant crossword constructor decides that a CNN cameraman is her true love. Because the cameraman's job takes him hither and yon, she crisscrosses the country, turning up at media events as she tries to convince him they are perfect for each other.",295,4.7
Book of Shadows: Blair Witch 2,0,"['Artisan Entertainment', 'Haxan Films']","['mystery', 'thriller', 'horror']","['witch', 'video', 'forest']","Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",212,4.3
The Craft,15000000,['Columbia Pictures'],"['drama', 'fantasy', 'horror', 'thriller']","['witch', 'suicide attempt', 'puberty']","A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",380,6.3
Match Point,15000000,['DreamWorks'],"['drama', 'thriller', 'crime', 'romance']","['love triangle', 'london england', 'upper class']","Match Point is Woody Allens satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",1105,7.3
Ramona and Beezus,0,"['Dune Entertainment', 'DiNovi Pictures']","['comedy', 'family']","['sister sister relationship', 'mother daughter relationship', 'aunt niece relationship']","Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.",245,6.1
The Remains of the Day,11500000,"['Columbia Pictures', 'Merchant Ivory Productions']","['drama', 'romance']","['newspaper', 'butler', 'country house']",A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,202,7.5
Boogie Nights,15000000,"['New Line Cinema', 'Ghoulardi Film Company', 'Lawrence Gordon Productions']",['drama'],"['pornography', 'sex', 'porn actor']","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",796,7.5
Nowhere to Run,0,['Columbia Pictures'],"['action', 'adventure', 'drama', 'thriller']","['prisoner', 'fight', 'liberation']",Escaped convict Sam Gillen single handedly takes on ruthless developers determined to evict Clydie - a widow with two young children. Nobody knows who Sam is.,119,5.5
Flicka,15000000,"['Twentieth Century Fox Film Corporation', 'Fox 2000 Pictures', 'Zucker/Netter Productions']",['drama'],['horse'],"A headstrong 16 year old Katy McLaughlin desires to work on her family's mountainside horse ranch, although her father insists she finish boarding school. Katy finds a mustang in the hills near her ranch. Katy then sets her mind to tame a mustang and prove to her father she can run the ranch. But when tragedy happens, it will take all the love and strength the family can muster to restore hope.",52,6.1
The Hills Have Eyes 2,15000000,"['Dune Entertainment', 'Craven-Maddalena Films', 'Fox Atomic']","['horror', 'thriller']","['new mexico', 'mutant', 'assault']",A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,351,5.2
Urban Legends: Final Cut,14000000,"['Original Film', 'Phoenix Pictures', 'Canal+ Droits Audiovisuels']",['horror'],"['film making', 'high school', 'sequel']","The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in 'Urban Legends: Final Cut', the suspenseful follow up to the smash hit 'Urban Legend'. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect. 'Urban Legends: Final Cut' is an edge-of-your-seat thriller that will keep you guessing until the shocking climax.",100,4.4
Tuck Everlasting,0,['Walt Disney Pictures'],"['fantasy', 'drama', 'science fiction', 'romance', 'family']",[],"Natalie Babbitt's award winning book for children comes to the screen in a lavish adaptation from Walt Disney Pictures. Winnie Foster (Alexis Bledel) is a girl in her early teens growing up in the small rural town of Winesap in 1914. Winnie's parents (Victor Garber and Amy Irving) are loving but overprotective, and Winnie longs for a life of greater freedom and adventure.",128,6.4
The Marine,20000000,"['Twentieth Century Fox Film Corporation', 'Pacific Film and Television Commission', 'WWE Studios']","['action', 'adventure', 'drama', 'thriller']","['gangster boss', 'wife', 'war']",A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,163,5.0
Keanu,15000000,['New Line Cinema'],"['action', 'comedy']","['hitman', 'strip club', 'african american']",Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,421,6.0
Country Strong,15000000,"['Maguire Entertainment', 'Screen Gems', 'Sony Pictures Home Entertainment']","['drama', 'romance']","['suicide', 'alcohol', 'adultery']","Soon after the rising young singer-songwriter Beau Williams gets involved with a fallen, emotionally unstable country star Kelly Canter, the pair embark on a career resurrection tour helmed by her husband/manager James and featuring a beauty queen-turned-singer Chiles Stanton. Between concerts, romantic entanglements and old demons threaten to derail them all.",80,5.9
Disturbing Behavior,15000000,"['Village Roadshow Pictures', 'Beacon Communications', 'Hoyts Film Partnership']","['mystery', 'horror', 'science fiction']","['suicide', 'sex', 'island']","Steve Clark (James Marsden) is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin (Nick Stahl) mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel (Katie Holmes).",104,5.5
The Place Beyond the Pines,15000000,"['Sidney Kimmel Entertainment', 'Electric City Entertainment', 'Verisimilitude']","['drama', 'crime']","['corruption', 'father son relationship', 'carnival']","A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.",1653,6.8
The November Man,15000000,"['Irish Dreamtime', 'Relativity Media', 'SPD Films']","['crime', 'action', 'thriller']","['cia', 'retired', 'agent']",An ex- CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,639,6.0
Eye of the Beholder,15000000,['Destination Films'],"['drama', 'mystery', 'thriller']","['beautiful woman', 'serial killer', 'secret service']","A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer.",42,5.3
The Hurt Locker,15000000,"['Summit Entertainment', 'Kingsgate Films', 'Grosvenor Park Media Ltd.']","['drama', 'thriller', 'war']","['sniper', 'explosive', 'loyalty']","Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",1840,7.2
Firestarter,15000000,"['Universal Pictures', 'Dino De Laurentiis Company']","['fantasy', 'drama', 'horror', 'action', 'thriller']","['fire', 'telepathy', 'intelligence']","As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop.""",173,5.9
Killing Them Softly,15000000,"['Plan B Entertainment', '1984 Private Defense Contractors', 'Annapurna Pictures']","['crime', 'thriller']","['poker', 'gambling', 'robbery']","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",742,5.8
A Most Wanted Man,15000000,"['Senator Film Produktion', 'Lionsgate', 'FilmNation Entertainment']",['thriller'],"['terror', 'muslim', 'intelligence']","When a half-Chechen, half-Russian, tortured half-to-death immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist?",541,6.5
Freddy Got Fingered,0,"['Regency Enterprises', 'Epsilon Motion Pictures', 'New Regency Pictures']",['comedy'],"['wheelchair', 'slacker', 'sausage']","An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",115,4.6
VeggieTales: The Pirates Who Don't Do Anything,0,"['Starz Animation', 'Big Idea Productions', 'Arc Productions']","['adventure', 'animation', 'comedy', 'science fiction', 'family']","['brother brother relationship', 'hostage', 'vegetable']","Set Sail For Adventure! A boatload of beloved VeggieTales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in The Pirates Who Don't Do Anything - A VeggieTales Movie! Larry the Cucumber, Mr. Lunt and Pa Grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas.",25,5.9
U2 3D,15000000,"['National Geographic Entertainment', '3ality Digital Entertainment']","['music', 'documentary']",[],"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.",10,6.7
Highlander: Endgame,25000000,"['Davis-Panzer Productions', 'Dimension Films']","['action', 'fantasy', 'science fiction']","['loss of lover', 'antiquary', 'loss of powers']","Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",104,4.4
Idlewild,0,"['Atlas Entertainment', 'Forensic Films', 'HBO Films']","['crime', 'drama', 'music']","['mortician', 'tied to chair', 'song and dance']","A musical set in the Prohibition-era American South, where a speakeasy performer and club manager Rooster must contend with gangsters who have their eyes on the club while his piano player and partner Percival must choose between his love, Angel or his obligations to his father.",17,5.1
One Day,15000000,"['Film 4', 'Color Force']","['drama', 'romance']","['based on novel', 'comedian', 'job']","A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",978,7.0
Whip It,15000000,"['Dune Entertainment', 'Mandate Pictures', 'Vincent Pictures']",['drama'],"['sport', 'roller derby', 'duringcreditsstinger']","In Bodeen, Texas, Land Of The Dragon, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",357,6.7
Knockaround Guys,15000000,['Lawrence Bender Productions'],"['crime', 'thriller']","['montana', 'sheriff', 'pile of dead bodies']",Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,97,5.9
Confidence,0,"['Cinerenta Medienbeteiligungs KG', 'Lionsgate', 'Ignite Entertainment']","['action', 'comedy', 'thriller', 'crime']","['grifter', 'con', 'big con']","What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.",126,6.4
The Muse,0,['October Films'],"['fantasy', 'comedy']","['screenwriter', 'muse']","What happens when a screenwriter (Brooks) loses his edge, he turns to anyone he can for help... even if it's the mythical ""Zeus's Daughter"" (Stone). And he's willing to pay, albeit reluctantly, whatever price it takes to satisfy this goddess, especially when her advice gets him going again on a sure-fire script. However, this is not the limit of her help, she also gets the writer's wife (MacDowell) going on her own bakery enterprise, much to the chagrin of Brooks, who has already had to make many personal sacrifices for his own help.",31,5.3
De-Lovely,20000000,"['Metro-Goldwyn-Mayer (MGM)', 'Winkler Films', 'Potboiler Productions']","['drama', 'music']","['musical', 'biography', 'hollywood']","From Paris to Venice to Broadway to Hollywood, the lives of Cole Porter and his wife, Linda were never less than glamorous and wildly unconventional. And though Cole's thirst for life strained their marriage, Linda never stopped being his muse, inspiring some of the greatest sons of the twentieth century.",32,6.3
New York Stories,15000000,['Touchstone Pictures'],"['comedy', 'drama', 'romance']","['new york', 'mother', 'hotel']","Three stories happening in New York. The first, by Scorsese, is about a painter who creates his works helped by high volume music and an attractive assistant; second, by Coppola, is about a rich and bold 12 years old who helps her separated parents to reconciliate; third, by Allen, is a witty piece of comedy about the impossibility of getting rid of the son's role.",64,6.2
Barney's Great Adventure,0,"['PolyGram Filmed Entertainment', 'Lyrick Studios']",['family'],[],"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it",8,2.9
The Man with the Iron Fists,15000000,"['Arcade Pictures', 'Iron Fists']",['action'],"['blacksmith', 'brothel', 'femme fatale']","In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",358,5.2
Home Fries,15000000,"['Warner Bros.', 'Baltimore Pictures', 'Kasdan Pictures']","['drama', 'comedy', 'romance']","['waitress', 'infidelity', 'planned murder']","Dorian and Angus chase down their womanizing stepfather with a helicopter, frightening him to death. In his effort to cover their tracks, Dorian begins investigating his stepfather's mistress, Sally. She works at a fast-food drive-through, she's pregnant and Dorian quickly falls in love with her. Unfortunately, his scheming mother wants Sally dead. And Sally isn't sure she wants Dorian to be her child's father and also his brother.",32,4.8
Here On Earth,0,"['Fox 2000 Pictures', 'Friendly Productions']",['romance'],"['car race', 'private school', 'diner']",A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,48,5.4
Brazil,15000000,['Embassy International Pictures'],"['comedy', 'science fiction']","['bureaucracy', 'police state', 'terror']","Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",861,7.5
Raise Your Voice,15000000,"['New Line Cinema', 'FilmEngine', 'Brookwell-McNamara Entertainment']","['music', 'drama', 'romance']","['music', ""life's dream"", 'aspiring singer']","Raise Your Voice is a coming-of-age story centered around a small-town singer, brokenhearted by the death of her brother in a car crash, who had secretly submitted her for a summer session at a performing arts academy in Los Angeles. In the performing arts academy, she experiences a whole new way of life in the big city, far from the small town lifestyle she's used to.",211,6.0
The Big Lebowski,15000000,"['Gramercy Pictures', 'PolyGram Filmed Entertainment', 'Working Title Films']","['comedy', 'crime']","['white russian', 'dude', 'bowling']","Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",2926,7.8
Black Snake Moan,15000000,['Paramount Classics'],['drama'],"['southern usa', 'blues', 'military service']","A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, is looking everywhere for love, but never quite finding it.",243,6.6
Dark Blue,15000000,"['United Artists', 'Intermedia Films', 'IM Filmproduktion']","['action', 'crime', 'drama', 'thriller']","['corruption', 'police brutality', 'riot']","Set during the Rodney King riots, a robbery homicide investigation triggers a series of events that will cause a corrupt LAPD officer to question his tactics.",85,6.5
A Mighty Heart,16000000,"['Plan B Entertainment', 'Revolution Films', 'Paramount Vantage']","['drama', 'thriller']","['terror', 'journalism', 'new love']","Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",95,6.7
Whatever It Takes,15000000,['Columbia Pictures Corporation'],"['drama', 'comedy', 'romance']",[],"A nerdy teen, Ryan Woodman is smitten with the popular and gorgeous Ashley Grant, who apparently has no interest in him. Meanwhile, dim star athlete Chris Campbell has his eye on Ryan's brainy and beautiful friend, Maggie Carter. The two agree to help each other in their romantic quests, but, as they come closer to their goals, both Ryan and Chris suspect that they might be pursuing the wrong girls.",37,5.0
Boat Trip,20000000,"['Motion Picture Corporation of America', 'Artisan Entertainment']",['comedy'],"['gay', 'bikini', 'cruise ship']","Two straight men mistakenly end up on a ""gays only"" cruise.",146,4.7
The Importance of Being Earnest,0,['Ealing Studios'],"['comedy', 'drama', 'history', 'romance']","['new love', 'country estate', 'country house']","Two young gentlemen living in 1890s England use the same pseudonym (""Ernest"") on the sly, which is fine until they both fall in love with women using that name, which leads to a comedy of mistaken identities...",127,6.7
The Love Letter,0,[],"['comedy', 'drama', 'fantasy', 'romance']",[],20th century computer games designer Scott exchanges love letters with 19th century poet Elizabeth Whitcomb through an antique desk that can make letters travel through time.,3,4.7
Hoot,0,"['The Kennedy/Marshall Company', 'Hoot Productions LLC', 'Walden Media']","['drama', 'family']","['owl', 'teenager', 'animal protection']","A young man (Lerman) moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",44,5.5
In Bruges,15000000,"['Blueprint Pictures', 'Scion Films', 'Film4']","['comedy', 'drama', 'crime']","['bruges belgium', 'town square', 'vietnamese']","Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",1388,7.4
Peeples,15,"['34th Street Films', 'Homegrown Pictures']",['comedy'],"['duringcreditsstinger', 'woman director']",The story follows what happens when a child psychologist surprises his girlfriend by showing up at her political family's annual get-together at their Sag Harbor vacation home only to find them desperately in need of therapy.,26,5.6
The Rocker,15000000,['Fox Atomic'],"['comedy', 'music']","['1970s', 'drums', 'groupie']","Rob ""Fish"" Fishman is the drummer in '80s hair metal band Vesuvius. He's unceremoniously booted as the group signs a big record deal, is out of the music world for 20 years - and then receives a second chance with his nephew's band.",156,5.6
Post Grad,15000000,"['Dune Entertainment', 'Cold Spring Pictures', 'The Montecito Picture Company']",['comedy'],"['career', 'family', 'unemployment']","Ryden Malby has a master plan. Graduate college, get a great job, hang out with her best friend and find the perfect guy. But her plan spins hilariously out of control when shes forced to move back home with her eccentric family.",100,5.0
Promised Land,15000000,"['Participant Media', 'Imagenation Abu Dhabi FZ', 'Focus Features']",['drama'],"['small town', 'campaign', 'salesman']","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",243,6.0
Whatever Works,15000000,"['Sony Pictures Classics', 'Wild Bunch', 'Gravier Productions']","['comedy', 'romance']","['love at first sight', 'runaway', 'age difference']","Whatever Works explores the relationship between a crotchety misanthrope, Boris and a nave, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",350,6.8
The In Crowd,15000000,['Morgan Creek Productions'],['thriller'],['woman director'],"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",15,4.7
The Three Burials of Melquiades Estrada,15000000,"['The Javelina Film Company', 'EuropaCorp']","['adventure', 'crime', 'drama', 'mystery', 'western']","['border patrol', 'united states–mexico barrier', 'promise']","When brash Texas border officer Mike Norton (Barry Pepper) wrongfully kills and buries the friend and ranch hand of Pete Perkins (Tommy Lee Jones), the latter is reminded of a promise he made to bury his friend, Melquiades Estrada (Julio Cesar Cedillo), in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico. As Estrada's body begins to rot, Norton begins to unravel, but Perkins remains determined to honor his vow.",177,7.0
Jakob the Liar,0,"['Columbia Pictures', 'Global Entertainment Productions GmbH & Company Medien KG', 'Blue Wolf']","['comedy', 'drama', 'history']","['jewry', 'schutzstaffel', 'jewish life']","In 1944 Poland, a Jewish shop keeper named Jakob is summoned to ghetto headquarters after being caught out after curfew. While waiting for the German Kommondant, Jakob overhears a German radio broadcast about Russian troop movements. Returned to the ghetto, the shopkeeper shares his information with a friend and then rumors fly that there is a secret radio within the ghetto.",90,6.0
Kiss Kiss Bang Bang,15000000,"['Silver Pictures', 'Warner Bros.']","['action', 'comedy', 'crime', 'mystery']","['detective', 'loser', 'custody battle']",A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,886,7.2
Idle Hands,25000000,"['Columbia Pictures Corporation', 'Team Todd', 'Licht/Mueller Film Corporation']","['thriller', 'comedy', 'horror']","['teenager', 'attic', 'knitting needle']","Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old clich about idle hands being the devil's playground has a kernel of truth after all.",182,6.1
